-0.03938,-0.16335,-0.19479
-0.054515,0.063278,-0.19479
-0.053032,0.28991,-0.19479
-0.083671,0.51654,-0.19479
-0.0806,0.74317,-0.19479
-0.064974,-0.16335,-0.098965
-0.053013,0.063278,-0.098965
-0.048999,0.28991,-0.098965
-0.052224,0.51654,-0.098965
-0.091645,0.74317,-0.098965
-0.097892,-0.16335,-0.0031415
-0.052187,0.063278,-0.0031415
-0.037342,0.28991,-0.0031415
-0.046911,0.51654,-0.0031415
-0.089587,0.74317,-0.0031415
-0.063345,-0.16335,0.092682
-0.053618,0.063278,0.092682
-0.040838,0.28991,0.092682
-0.053645,0.51654,0.092682
-0.11792,0.74317,0.092682
-0.042969,-0.16335,0.18851
-0.05513,0.063278,0.18851
-0.051689,0.28991,0.18851
-0.07003,0.51654,0.18851
-0.12052,0.74317,0.18851
