Cm, alpha_m, beta_m, V_t, alpha_m_kf, beta_m_kf, V_t_kf, alpha_t_kf, C_a_up
-0.059063, -0.0062345, -0.00078201, 151.83, 0.002627643395675118, 0.0010586098628365206, 150.2216561965232, 0.007888642226240762, -0.9640259591845733
-0.059054, 0.0027438, 0.0019436, 149.26, 0.002632053695040542, 0.0010671413049875692, 150.20083686999828, 0.007901882711559931, -0.963009264763412
-0.059044, -0.0066802, 0.0050109, 149.67, 0.0024218419269206987, 0.0011069406966820827, 150.19040145179156, 0.007270790443418703, -0.9655029546146144
-0.059034, 0.0055428, 0.0039701, 149.85, 0.0024931762677977355, 0.0011343828363758826, 150.18432725263793, 0.007484948534486104, -0.9642056550046784
-0.059025, -0.0081617, -0.0036696, 151.19, 0.0022559652223381826, 0.001081085821194875, 150.20645175752443, 0.00677279974259794, -0.9685467020266323
-0.059015, -0.0058105, -0.0035376, 151.79, 0.0020450954025133176, 0.0010282040560235716, 150.24290989282457, 0.006139731888851821, -0.9727858738881964
-0.059006, -0.0079946, 0.0058808, 150.4, 0.0018042466839366755, 0.0010736301728153292, 150.2475007905891, 0.0054166621699444275, -0.9761243386750036
-0.058996, -0.012218, -0.0041961, 151.75, 0.0014025457594322444, 0.00101399998043489, 150.28420859099757, 0.004210686168565659, -0.9822399294689731
-0.058986, 0.0063503, -0.0051682, 150.86, 0.0015055557044003109, 0.0009464180835311553, 150.2993314058661, 0.004519939929154068, -0.9812607095600588
-0.058976, -0.0064046, 0.001599, 151.52, 0.001238494909170273, 0.0009447332577423323, 150.33146307804438, 0.0037181769997959046, -0.9851231353804214
-0.058967, 0.015492, -0.0033836, 150.49, 0.0016080930596162446, 0.000896520171102018, 150.33665736741992, 0.004827774893158244, -0.9807880963945108
-0.058957, 0.014323, 0.0076126, 149.68, 0.0019528808441347761, 0.0009568277600626066, 150.32188231292633, 0.005862887755322734, -0.97629618798676
-0.058947, -0.011994, 0.0026886, 150.24, 0.0016185085343204152, 0.0009671572237901589, 150.32111932186294, 0.004859043958699215, -0.9803366963130675
-0.058937, -0.010233, 0.0044119, 151.42, 0.0012798050047043462, 0.0009911611339696884, 150.34870408399604, 0.0038421970873528774, -0.9849044662532517
-0.058928, 0.015798, -0.0042534, 148.17, 0.0016889668472951404, 0.0009389276101935804, 150.30193591511414, 0.005070572061727555, -0.9790685897050889
-0.058918, -0.013061, -0.0043729, 151.53, 0.0013122786602836507, 0.0008784784375737775, 150.33017736489867, 0.003939688646163689, -0.9842351097029198
-0.058908, -0.012801, 0.0022224, 151.35, 0.0009346682215427221, 0.0008799736618277662, 150.35471443083262, 0.0028060364705968285, -0.9890589446362598
-0.058898, -0.0026114, -0.0022076, 151.26, 0.0008010513906895958, 0.0008403837208227131, 150.37728234416335, 0.0024048955183126144, -0.9908362151094201
